0,2016,"$12.500","Las Vegas United States",United States,Danny Hester,Iran,Arash Rahbar,Bosnia and Herzegovina,Sadik Hadzovic
1,2017,"$20.000","Las Vegas United States",United States,Breon Ansley,Canada,Chris Bumstead,United States,George Peterson
2,2018,"$20.000","Las Vegas United States",United States,Breon Ansley,Canada,Chris Bumstead,United States,George Peterson
3,2019,"$30.000","Las Vegas United States",Canada,Chris Bumstead,United States,Breon Ansley,United States,George Peterson
4,2020,"$30.000","Orlando United States",Canada,Chris Bumstead,United States,Terrence Ruffin,United States,Breon Ansley
5,2021,"$50.000","Orlando United States",Canada,Chris Bumstead,United States,Terrence Ruffin,United States,Breon Ansley
6,2022,"$50.000","Las Vegas United States",Canada,Chris Bumstead,Brazil,Ramon Queiroz,Germany,Urs Kalecinski
7,2023,"$50.000","Las Vegas United States",Canada,Chris Bumstead,Brazil,Ramon Queiroz,Germany,Urs Kalecinski
